  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------
  
2003 001    3.20    4.08    3.21    2.36    4.17    0.20
2003 002    3.17    3.99    3.19    2.32    4.13    0.20
2003 003    3.13    3.83    3.03    2.21    4.06    0.20
2003 004    3.00    3.79    2.95    2.15    3.98    0.20
2003 005    3.05    3.81    2.88    2.02    3.85    0.20
2003 006    3.15    3.80    2.84    1.93    3.78    0.20
2003 007    3.36    3.80    2.77    1.76    3.72    0.20
2003 008    3.39    3.86    2.76    1.71    3.68    0.20
2003 009    3.39    4.01    2.74    1.67    3.67    0.20
2003 010    3.17    3.65    2.63    1.22    3.63    0.20
2003 011    3.05    3.47    2.55    1.10    3.63    0.20
2003 012    2.91    3.33    2.46    1.02    3.58    0.20
2003 013    2.78    3.26    2.39    0.96    3.50    0.20
2003 014    2.63    3.10    2.21    0.20    3.31    0.20
2003 015    2.52    3.02    2.13    0.20    3.25    0.20
2003 016    2.46    3.03    2.07    0.20    3.14    0.20
2003 017    2.43    2.93    1.89    0.20    2.88    0.20
2003 018    2.39    2.80    1.83    0.20    2.76    0.20
2003 019    2.38    2.76    1.77    0.20    2.69    0.20
2003 020    2.24    2.65    1.75    0.20    2.69    0.20
2003 021    2.00    2.41    1.46    0.20    2.50    0.20
2003 022    1.86    2.32    1.41    0.20    2.42    0.20
2003 023    1.72    2.25    1.37    0.20    2.33    0.20
2003 024    1.53    2.13    0.97    0.20    2.09    0.20
2003 025    1.42    2.06    0.94    0.20    2.01    0.20
2003 026    1.32    1.99    0.91    0.20    1.97    0.20
2003 027    1.23    2.00    0.91    0.20    1.93    0.20
2003 028    1.02    1.75    0.81    0.20    1.78    0.20
2003 029    0.95    1.70    0.79    0.20    1.77    0.20
2003 030    0.88    1.68    0.85    0.20    1.72    0.20
2003 031    0.80    1.60    0.78    0.20    1.59    0.20
2003 032    0.76    1.55    0.76    0.20    1.59    0.20
2003 033    0.74    1.53    0.75    0.20    1.62    0.20
2003 034    0.75    1.58    0.78    0.20    1.74    0.20
2003 035    0.73    1.48    0.66    0.20    1.78    0.20
2003 036    0.71    1.47    0.65    0.20    1.81    0.20
2003 037    0.74    1.55    0.66    0.20    2.06    0.20
2003 038    0.70    1.52    0.58    0.20    2.06    0.20
2003 039    0.72    1.42    0.52    0.20    1.97    0.20
2003 040    0.74    1.33    0.49    0.20    1.93    0.20
2003 041    0.74    1.26    0.48    0.20    1.94    0.20
2003 042    0.63    1.15    0.44    0.20    1.73    0.20
2003 043    0.62    1.15    0.44    0.20    1.66    0.20
2003 044    0.61    1.21    0.42    0.20    1.55    0.20
2003 045    0.32    0.74    0.24    0.20    1.12    0.20
2003 046    0.30    0.65    0.24    0.20    1.07    0.20
2003 047    0.25    0.61    0.24    0.20    1.03    0.20
2003 048    0.24    0.61    0.24    0.20    0.99    0.20
2003 049    0.23    0.56    0.21    0.20    0.91    0.20
2003 050    0.23    0.55    0.21    0.20    0.82    0.20
2003 051    0.27    0.97    0.29    0.20    0.82    0.20
