  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps

--------------------------------------------------------
                  Surf. Water Temp. (degrees C)

Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------

2021 001    3.66    4.70    4.01    3.93    5.10    2.59
2021 002    3.68    4.63    4.02    3.83    5.03    2.37
2021 003    3.70    4.58    4.04    3.79    5.00    2.46
2021 004    3.71    4.51    4.00    3.73    4.93    2.55
2021 005    3.71    4.47    4.02    3.66    4.89    2.63
2021 006    3.68    4.44    4.00    3.56    4.84    2.63
2021 007    3.66    4.46    4.03    3.51    4.82    2.70
2021 008    3.60    4.45    3.96    3.45    4.79    2.67
2021 009    3.58    4.44    3.81    3.41    4.77    2.58
2021 010    3.55    4.43    3.81    3.38    4.69    2.45
2021 011    3.52    4.38    3.82    3.31    4.65    2.35
2021 012    3.52    4.33    3.82    3.19    4.64    1.88
2021 013    3.48    4.29    3.79    3.09    4.59    1.84
2021 014    3.41    4.27    3.74    3.02    4.52    1.79
2021 015    3.36    4.23    3.67    2.99    4.47    1.81
2021 016    3.31    4.18    3.61    2.95    4.42    1.65
2021 017    3.26    4.13    3.57    2.90    4.43    1.61
2021 018    3.22    4.07    3.42    2.79    4.36    1.58
2021 019    3.17    4.01    3.29    2.68    4.30    1.49
2021 020    3.10    3.97    3.20    2.61    4.30    1.41
2021 021    3.02    3.95    3.06    2.58    4.23    1.19
2021 022    2.96    3.84    3.03    2.54    4.16    1.13
2021 023    2.80    3.65    2.88    2.38    4.10    0.63
2021 024    2.57    3.59    2.63    2.06    4.06    0.56
2021 025    2.55    3.57    2.64    2.01    3.96    0.62
2021 026    2.49    3.52    2.61    2.00    3.85    0.85
2021 027    2.42    3.41    2.57    1.95    3.84    0.79
2021 028    2.33    3.26    2.49    1.86    3.81    0.20
2021 029    2.22    3.13    2.44    1.74    3.68    0.20
2021 030    2.18    3.15    2.29    1.46    3.50    0.20
2021 031    2.23    3.17    2.29    1.44    3.28    0.20
2021 032    2.28    3.14    2.37    1.43    3.36    0.20
2021 033    2.27    3.22    2.36    1.39    3.42    0.20
2021 034    2.25    3.22    2.41    1.39    3.48    0.20
2021 035    2.20    3.23    2.39    1.35    3.50    0.20
2021 036    2.22    3.15    2.43    1.35    3.52    0.20
2021 037    2.17    2.98    2.31    1.11    3.38    0.20
2021 038    2.10    2.89    2.21    0.91    3.03    0.20
2021 039    1.99    2.72    2.17    0.83    2.94    0.20
2021 040    1.91    2.67    1.99    0.32    2.85    0.20
2021 041    1.81    2.63    1.89    0.38    2.85    0.20
2021 042    1.67    2.47    1.78    0.38    2.75    0.20
2021 043    1.42    2.23    1.64    0.41    2.67    0.20
2021 044    1.17    2.09    1.51    0.39    2.60    0.20
2021 045    1.02    1.96    1.18    0.35    2.58    0.20
2021 046    0.99    1.91    1.11    0.32    2.52    0.20
2021 047    0.92    1.87    1.13    0.31    2.56    0.20
2021 048    0.92    1.83    1.16    0.29    2.58    0.20
2021 049    0.88    1.77    1.11    0.27    2.46    0.20
2021 050    0.82    1.80    1.07    0.28    2.33    0.20
2021 051    0.84    1.83    0.98    0.26    2.17    0.20
